,hometown,majors,name,paragraph,year,cleandepts,Humanities,Social Science,Natural Science,Stem
11,Hometown: Tukwila,English,Charlie Jones,"Charlie plans to undertake a solitary, meditative journey to explore the unifying language of art. In traveling she plans to draw and interact with people and cultures to further comprehend the interconnected stories of a global community and to expand the limited margins of her own comprehension. She will travel to South Africa, Zimbabwe, India, Nepal, China, and Russia.",2016,['English'],1,,,
12,Hometown: Seattle,Geography,Stella Jones,"Stella will travel to Chile, Ecuador, Brazil, South Africa, Uganda, Sri Lanka, Vietnam and Bhutan. Her goal is to rethink her taken-for-granted understandings of the places she visits and those she calls home. She hopes to use this opportunity to learn more about herself in relation to the world and to deeply consider the politics and ethics of travel. Additionally, as an enthusiast of the PNW outdoors, she is excited to explore the rivers, mountains, and forests of the places she visits.",2016,['Geography'],,1,,
13,"Hometown: Pullman, Wash.",Biochemistry,Dylan Moore,"Dylan will travel through current and former colonies in the Caribbean Sea, from Haiti to Trinidad, as well as the postcolonial nations of Venezuela, Brazil, Algeria, and Morocco. He seeks to bear witness to the contemporary legacy of European colonialism and to the associated environmental changes threatening these islands and coastal regions. He intends to explore these regions ecologically, economically, and socially, using scuba diving as a bridge between himself, the environment, and other people. He hopes his experiences across a range of communities and cultures will continue to prepare him to conduct responsible research that is more respectful of and responsive to the needs of communities it will impact.",2016,['Biochemistry'],,,1,
14,"Hometown: Rupert, Idaho",History,Bonnie Mosley,"Bonnie will circle the Mediterranean and Eastern Europe, exploring new places in a search of history, fashion, art, food, music, and friends. As a writer, she will record her experiences in journals, poetry, blogs, and short stories to illustrate the details and to share with others. She will travel through Morocco, Tunisia, Ethiopia, Spain, Greece, Turkey, Hungary, and the Czech Republic.",2016,['History'],1,,,
15,Hometown: Seattle,Aquatic &amp; Fishery Sciences,Samantha Murphy,"Sam is a passionate marine enthusiast who revels in the natural beauty of the outdoors. InterestedåÊin marine science and ecosystem conservation, she hopes to explore cultures with ties to the ocean and experience its influence from the perspective of others. Regions where conscientious eco-tourism has been successfully implemented are of particular interest. She hopes that leaving her comfortable Northwest bubble will challenge her beliefs, expose her to new sights, tastes, and experiences, and open her up to new shared adventures with strangers from around the globe. She will travel to Indonesia, Thailand, Japan, Costa Rica, Honduras, Belize, and Mexico.",2016,['Aquatic and Fishery Science'],,,1,
16,"Hometown: Tacoma, Wash.",Biochemistry,Allison Rollins,"Whether biking in the Andes Mountains, or practicing yoga near the Ganges, Allison desires an experience that is off the beaten path, far from tour buses and people of her own cultural background. Allison hopes this immersion will challenge her world views, while also expanding her understanding of global culture and its ancient ties to religion. She plans to examine the many aspects of humanity‰Ûªs connection to a God or gods, histories of violence and beauty inspired by religion, and the ways in which we incorporate spirituality into modern cultural identity. She will travel overland as much as possible, using local methods of travel, while engaging with new people and experiences along the way. She will be traveling to Cambodia, Thailand, Myanmar, India, Israel, Chile, Peru, and Argentina.",2016,['Biochemistry'],,,1,
17,Hometown: Seattle,Comparative History of Ideas,Xoe Amer,"AmeråÊwill be traveling through Colombia, Brazil, Peru, Japan, South Korea, and Vietnam. She has never before been outside of the West Coast. As a barista, she is compelled by the global dynamics of the coffee trade, especially as it reifies histories of colonialism and migration. As a poet, she is compelled by the poetry, literature, and folk music of each region and their roots in community life. She hopes to find some insight into the pieces of art and culture from these regions that have been so significant in her own life so far from their places of origin, and consider how this kind of interconnectedness manifests in other places, in others‰Ûª lives.",2015,['Comparative History of Ideas'],,1,,
18,Hometown: Seattle,"Law, Societies, and Justice",Dashni Amin,"Dashni is excited to do things that scare her. From Kurdistan, but born in Pakistan, she‰Ûªs lived in the PNW for almost all her remembered life. By traveling to Indonesia, Malaysia, Thailand, Nepal, India, UAE, Jordan, Turkey, and Morocco, she hopes to learn from strong Muslimahs the world over as she explores her spirituality, enjoys being where she is, and gives and receives love.",2015,"['Law, Society and Justice']",,1,,
19,,Unidentified,Unidentified,,2015,['Unidentified'],,,,
20,"Hometown: Everett, Wash.",Art (Photomedia),Matt Bell,"BellåÊwishes to use this opportunity to investigate the oldest and most resilient cultures in the world to see what role geography and society play in shaping peoples‰Ûª sense of self. He hopes to turn this lens of discovery back onto himself through the continual challenge of overcoming language and cultural barriers and by seeking out esoteric foods and cultural practices. Matt plans to explore places where not even the stars in the night sky will be familiar. While unable to foresee how this experience will shape him, Matt is excited to find what the world has to offer and what he can offer in return as he explores Peru, Chile, Argentina, Japan, China, India, Egypt, Turkey, Greece, and Iceland.",2015,['Art'],1,,,
21,"Hometown: Gig Harbor, Wash.","Sustainable Urban Development, UW Tacoma",Kevin Bogue,"BogueåÊhas a profound interest in the construction, interactions within, environmental stewardship, and continued development of urban centers. As such, Kevin plans to visit, immerse himself within, and explore an array of urban environments throughout Japan, Southeast Asia, and Turkey, as well as Southern and Eastern Europe. It is Kevin‰Ûªs hope that he will return from his excursion with new and exciting ideas about how to better serve his community‰Ûªs social, economic, and environmental needs through more sustainable approaches to urban planning and development.",2015,['Sustainable Urban Development'],,1,,
22,Hometown: Seattle,American Indian Studies,Stephanie Riedl,"Riedl wants to explore places with both abundant biodiversity and a strong indigenous presence. She plans to spend her time outside, biking, backpacking, swimming, and exploring bioluminescent and geothermal features. Stephanie hopes to build new relationships and challenge her ideas about the world while exploring new communities and environments. Because we leave a footprint everywhere we go, she would like to be intentional about where she spends time and money, and hopes to foster exploration based on foundations of respect, responsibility, reciprocity, and accountability. Her destinations include Mexico (Chiapas), Costa Rica, Peru, Chile, New Zealand, Tonga, Fiji, Samoa, Palau, Indonesia, and Iceland.",2015,['American Indian Studies'],,1,,
23,Hometown: Seattle,"Nursing, UW Bothell",Emily Sorman,"SormanåÊis a Registered Nurse interested in compassionate end of life care. In the United States, death is viewed mainly with sadness and grief and she believes that, while death is always difficult, in many other countries it is celebrated as a part of life. She will attend festivals and ceremonies that honor loved ones who have passed on, and examine how other cultures care for their ageing and dying populations while traveling in Mexico, Guatemala, Belize, Japan, China, Vietnam, Cambodia, Thailand, India, and Nepal. Emily plans to focus on family, community, alternative healing, and spirituality, and by doing so, gain a greater understanding of what it means to be alive.",2015,['Nursing'],,,1,
24,"Hometown: Enumclaw, Wash.",Biology,Rachel Weisbeck,"WeisbeckåÊplans to travel to regions spanning a wide range of cultural and environmental diversity, from biodiversity hotspots in sub-Saharan Africa and the Amazon Rainforest to areas with much less ecological focus in Russia, Mongolia, and southern South America. Through her experiences with this range of ecosystems, she hopes to observe the ways human-animal interactions differ across regions and cultures, and how these interactions are influenced by western concepts of tourism and global conservation. She especially wishes to be inspired by non-western and indigenous forms of human-animal cohabitation and to challenge the notions that she has built throughout her life in the Pacific Northwest.",2015,['Biology'],,,1,
25,Hometown: Seattle,International Studies,Wanda Bertram,"From Southeast and Central Asia to Armenia and Turkey, Bertram plans to visit cultures to experience various stages of social upheaval‰ÛÓthoseåÊ‰ÛÏmaking history‰Ûù‰ÛÓand explore the ways that local storytelling customs help people in such situations historicize their own experience. She‰Ûªll observe storytelling and historiography, not only through conversation but through arts, children‰Ûªs stories, rituals, games, names, jokes, advertising, media and museums. As she examines how history making relates to consumerism, age relations, the idea of place, conflict resolution, and power structures, she hopes to be challenged to complicate heråÊpreconceptions about world history and to narrate heråÊown experiences differently.åÊ",2014,['International Studies'],,1,,
26,Hometown: Seattle,"Business Administration, Finance",Wilson Carletti,"CarlettiåÊwants to travel to these places to appreciate the natural beauty of our world, engage in dialogue with local communities, and participate in sports in order to learn to understand their role in the lives of other peoples and cultures of South America and Africa. He also wants to use the opportunity to focus on writing. He wants to write about hisåÊexperiences, as a mode of self-reflection and documentation for others, and to hone theåÊart of storytelling.åÊ",2014,"['Business Administration, Finance']",,1,,
27,"Hometown: Poulsbo, Wash.",Biochemistry and Anthropology,Nicolle Esparo,"Indonesia has mystified EsparoåÊsince heråÊfirst anthropology course, and the mountains and wilderness of South America have always called to her from glossy pictures in books. She specifically chose these regions because of the indomitable characters of their inhabitants and the value of their natural resources to science, both historically and in modern times. She wants to walk in the footsteps of courageous indigenous peoples and revolutionary scientists. Whether travelling by foot, bus, boat or plane, she is excited to explore.åÊ",2014,"['Biochemistry', 'Anthropology']",1,,1,
28,"Hometown: Gig Harbor, Wash.",Public Health,Susan Glenn,"Travel objectives: I plan on travelling to Morocco, Kenya, Tanzania, and South Africa to gain an understanding of the constructed idea of ‰ÛÏAfrica‰Ûù and to transcend my predominately sub-Saharan focus of African Studies. I will also travel to Patagonia and Easter Island to explore issues facing environments, both past and present.åÊ",2014,['Public Health'],,1,,
29,"Hometown: Gardnerville, Nev.",Economics,Walker Higgins,"Travel objective: I will begin in South Asia and then travel to Southeast Asia, and trek through Eastern Europe. I want to immerse myself in a location and culture, listening to its music, eating traditional foods, learning its history, seeking recommendations from locals, and exploring the land itself to see the world with fresh eyes. I want to figure out what I truly value in life, and if that thing is different from others. In the end, I want to discover who I am and gain a new perspective, hopefully changing those that I meet in turn.åÊ",2014,['Economics'],,1,,
30,"Hometown: Mesa, Ariz.",Environmental Science,Shantelle Johnson,"Travel objectives: My planned journey is about stripping away the layers of mental conditioning that have developed throughout my life and revealing the beauty in all things. Throughout my expedition, I plan to travel by plane, train, bicycle, ferry, and rickshaw to uncover cultural and religious relationships to nature, spiritual manifestations, and the formula for laughter. As I explore these regions my primary goal is to remain open and receptive to lessons that may present themselves along the way.åÊ",2014,['Environmental Science'],,,1,
31,"Hometown: Boise, Idaho",Bioengineering,Nicole Trosper,"Travel objectives: While traveling, I am interested in seeing the role that medicine plays in people‰Ûªs lives, and ways in which we can participate in engineering which respects and enhances cultural identity. I seek to connect with people through a love of the land, cooking, and art. My journey will take me through Brazil, southeastern Africa, Cambodia and Vietnam. By visiting these diverse and vibrant places, I hope to engage in personal growth and foster a sense of global understanding.åÊ",2014,['Bioengineering'],,,,1
32,,Aquatic and Fishery Science,Nicola Follis,"Nicola is very interested in how different people and age groups interact with the environment and how these interactions can either foster the preservation of the environment or facilitate the degradation of nature. During her travels she would like to look at the junction between science, culture and the socioeconomics in a given place in order to understand the environmental values and beliefs in that community. She plans to travel through western South America, Thailand, the Indo-Pacific, Madagascar and Southern Africa. These regions were picked because they contain landmarks she wishes to see, relate to the field of marine science, or simply because she has an unexplainable urge to explore and immerse herself in the culture of the country.",2013,['Aquatic and Fishery Science'],,,1,
33,,Biochemistry &amp; Biology,Emily Hsieh,"Emily is interested in the scope of science outreach in the context of wildlife preservation and observing the conversations (or lack thereof) between scientists and civilians. At the same time, as an evolutionary biologist, she wants to appreciate the biodiversity that flourishes in some of the world‰Ûªs most dynamic ecosystems as well as walk in Darwin‰Ûªs footsteps. Her journey begins in Southeast Asia, where she will visit Vietnam, Thailand, and Indonesia. Then, she will visit Nepal and Mauritius, before flying to South America to visit Brazil and Ecuador (including the Galapagos Islands).",2013,"['Biochemistry', 'Biology']",,,1,
34,,Environmental Studies,Stephanie Morriss,"Stephanie wishes to travel throughout India, parts of Southeast Asia, South Africa, Ethiopia, Iceland, and end by walking El Camino De Santiago in Spain. She chose not to have a specific theme in mind, in the hopes that this would allow her to travel somewhat spontaneously and take in all aspects of these new places‰ÛÓ including the history, food, natural beauty, music, and hospitable people. She hopes to learn more about the role food plays in culture, how distinct cultures both differ and relate, and what her place is in the global community.",2013,['Environmental Studies'],,,1,
35,,English,Catherine Opie,"Catherine plans to visit Japan, China, India, Thailand, Morocco, and South Africa. She wantsåÊto immerse herself in cultures totally unlike her own in order to gain a broader understanding of the global community and her place in it. She is interested in seeing how other countries celebrate community through spirituality, food, family, and education, especially those with deep-rooted histories and traditions. She looks forward to taking in the natural beauty of other regions whether it be hiking in the Himalayas, boating down the Ganges River, relaxing on the beaches of Thailand, or strolling through a traditional Japanese Garden. She says ‰ÛÏI couldn‰Ûªt think of a better way to celebrate completing what has become one of the world‰Ûªs longest (eleven years, officially!) Bachelor‰Ûªs Degrees!‰Ûù",2013,['English'],1,,,
36,,Biochemistry,Alex Taipale,"Alex wants to better understand multicultural perceptions of humanity and personhood through the exploration of ideas and rituals surrounding death. She will travel to East Africa, Egypt, Turkey, Israel, Jordan, Pakistan, India, Nepal, Bhutan and Southeast Asia. Exploring such a range of cultures with diverse mortality demographics, religious beliefs and cultural permanence will allow her to better understand how death and our own humanity is viewed around the globe. She hopes to ultimately apply this knowledge to help lead America‰Ûªs healthcare and biotechnology industries toward producing technologies that respect multicultural perspectives on what it means to be a human being.",2013,['Biochemistry'],,,1,
37,,Civil and Environmental Engineering,Kevin Tsuchida,"Kevin plans to explore Botswana and Zambia, followed by Nepal and India. Next will be Thailand and Indonesia, finishing up with Jordan and Egypt. He looks forward to experiencing and understanding these cultures by using art as a lens, partaking in traditional dishes, pursuing an interest in filming and photography, and reflecting on all his thoughts and ideas in a journal. After considering the culinary, visual, and literary arts, he would like to return home more inspired to express his own creative side, drawing from all that these countries have to offer, and hopes to be able to encourage the same inspiration in others.",2013,['Civil and Environmental Engineering'],,,,1
38,,Electrical Engineering &amp; Philosophy,Kaiwen Sun,"Kaiwen will begin his travels in Russia and Kazakhstan, before flying to Nepal, Bhutan, and India, then going to Kenya and journeying by land to South Africa. In these places, he hopes to get to know and understand new and radically different cultural ideologies. He is fascinated by the way cultural values and world outlooks differ so much among different societies, and how difficult it is to reflect on them since they are so deeply ingrained. He is particularly interested in the way different cultural ideologies affect the beliefs, values, and interactions between people of those cultures, and what the differences tell us about how people can perceive life differently",2013,"['Electrical Engineering', 'Philosophy']",1,,,1
39,"Hometown: Gig Harbor, Washington",Comparative History of Ideas,,"Barnett plans to travel through Southeast Asia, India, Sri Lanka, Mozambique, Peru and Mexico, followingåÊthe global spice trade to see the evolution of the modern food system. This journey will hopefully provide aåÊdeeper understanding of being both a global consumer and a local food activist by experiencing street food and cooking with people of diverse backgrounds.",2012,['Comparative History of Ideas'],1,,,
40,"Hometown: Litchfield, New Hampshire",Human Geography; Comparative History of Ideas,,"Candage plans to travel to Mexico, Central America, Spain, Morocco, Sicily, Lebanon, Greece, the Balkans, Vietnam, Cambodia, Thailand and India. She is interested in the role of spirituality in people‰Ûªs everyday lives, including how they cook and eat together, communicate and commune with each other, and experience the environment and other species.",2012,"['Human Geography', 'Comparative History of Ideas']",,1,,
41,"Hometown: Federal Way, Washington",Neurobiology; English,,"Fernando plans to travel throughout Africa and Asia, with intended stops in South Africa, Madagascar, Tanzania, India, Sri Lanka, Nepal, China and Tibet, Myanmar and Indonesia. He hopes to explore how different cultures handle intergenerational tensions ‰ÛÒ and, in particular, how youth worldwide react to concepts like heritage, tradition and filial expectation.",2012,"['Neurobiology', 'English']",1,,1,
42,"Hometown: Renton, Washington",English,,"McGann plans to start her journey in Puerto Rico and make her way down to Venezuela, Peru, Argentina and Chile. Then she plans to fly to Southeast Asia, visiting Singapore, Malaysia, Cambodia, Vietnam and Thailand, before ending her travels in India. McGann is interested in unpacking notions of global feminism and grappling with what it means to be feminist in diverse, postcolonial places.",2012,['English'],,1,,
43,"Hometown: Bellevue, Washington",International Studies; Communications (Journalism),,"McKeon plans to head first to Southeast Asia, then to East Africa, and then to northern South America and the Caribbean. She hopes to visit places with unique storytelling traditions that are sometimes portrayed negatively in western media, with the goal of complicating and challenging her preconceptions of the cultures she passes through.",2012,"['International Studies', 'Communications']",,,1,
44,"Hometown: Bend, Oregon",Neurobiology,,"Phillips plans to travel to a number of national parks and conservation areas in South America, Africa and Southeast Asia, with the hope of seeing the great diversity of flora and fauna in some of the world‰Ûªs richest ecosystems. His goal is to bear witness to the ways in which local ecosystems sustain human communities and, in turn, how recent human activities are shaping those ecosystems.",2012,['Neurobiology'],,,1,
45,"Hometown: San Francisco, California",French; International Studies,,"Ramoin plans to travel from India and Nepal, Southeast Asia and Latin America. He is excited to immerse himself in indigenous societies by participating in their traditional pastimes, games and sporting events, while exploring how the preservation of their heritage works to strengthen local organizations.",2012,"['French', 'International Studies']",1,1,,
46,Hometown: Seattle,International Studies,Charmi Ajmera,"Ajmera will begin her travels in South Africa. From there she will travel along the coast of East Africa through Swaziland, Mozambique, Madagascar, Kenya, Ethiopia and Egypt. Next, she will fly to Greece and travel by ferry through the Greek islands and across the Aegean Sea to Turkey. In Turkey she will travel upland to Istanbul. This will be followed by a flight to Moscow and a journey across Russia via the Trans-Siberian railroad, ending in Irkutsk. Finally, she will travel by train to Ulaanbaatar in Mongolia and fly home from there.",2011,['International Studies'],,1,,
47,Hometown: Seattle,Comparative History of Ideas; American Ethnic Studies,Sol Moravia-Rosenberg,"Moravia-Rosenberg plans to travel through the greater part of 2012 through Ethiopia, Kenya, India, Vietnam, Brazil, Peru and the Caribbean. He is most interested in learning about the role that music plays in people‰Ûªs lives around the world, and how that role differs from that in the United States. As a cultural ambassador representing his community, he hopes to converse and collaborate with other lovers of music from all corners of the earth. As an active musician he expects to return from this experience enabled and inspired to bring ideas and change to his home community.",2011,"['Comparative History of Ideas', 'American Ethnic Studies']",1,1,,
48,"Hometown: Edmonds, Washington",Economics,,"Russeff hopes to take full advantage of every opportunity he will have on the road to learn about new cultures and have meaningful travel experiences. He plans to start in Western Europe where he will spend a short time taking in the historical architecture and vibrant culture of Europe. Then he will travel to Eastern Europe and Russia, taking the Trans-Siberian Railroad from Moscow through eastern Russia and into China, stopping in Beijing. He will finish his journey exploring Japan.",2011,['Economics'],,1,,
49,,Drama,,"Schreck will travel around the Pacific Rim and across Eurasia exploring non-Western performance traditions (such as the Javanese wayang, Madurese loddrok, Japanese Noh and kabuki, the Ilkhom Theatre of Tashkent, and the Yuyachkani company in Lima) and exploring the physical, sonic, and human landscapes of cities, rural areas, and wildernesses. He is particularly excited to make long distance walking journeys in Peru, Chile, and Hokkaido, as he feels that the best way to interact with and learn about a place is at a walking pace. He will also make field audio recordings of theatrical and musical performances, narratives and interviews, and wild places of great solitude and beauty.",2011,['Drama'],1,,,
50,Hometown: Seattle,Public Health; Anthropology,,"As someone who has spent most of her life purchasing food, clothing and furniture, Spiker is curious about the lives of people who are able to produce things she only knows how to consume. What means of survival ‰ÛÒ such as growing food or working with fabrics ‰ÛÒ has she forgotten or never even learned? As a Bonderman Fellow, she is excited to spend time with people who know things that she does not. These people exist everywhere, but she will be starting her lifelong search by wondering first through South America, Eastern Europe, India and Southeast Asia.",2011,"['Public Health', 'Anthropology']",1,1,,
51,"Hometown: Snohomish, Washington",International Studies; Asian Languages and Literature,,"Thompson will spend time in Fiji, Vanuatu, Indonesia, Vietnam, Turkmenistan, Azerbaijan, Georgia, Turkey, Zambia, Namibia and South Africa exploring different ways people understand their identity in relation to physical location. The people she hopes to meet face environmental and political situations that have ‰ÛÒ or will ‰ÛÒ require them to leave their homelands. She is excited to engage people in conversation about art, culture and tradition to better understand the historical context and possible futures of these regions as well as her own personal identity as a traveler.",2011,"['International Studies', 'Asian Languages and Literature']",1,1,,
52,"Hometown: Spokane, WA",Computer Science,Zachary Triber Brown,"Brown plans to romp around South America, including a trip by boat along the entire Amazon River. Following that, he will backpack around Asia, stopping in China, Laos, and Thailand.åÊBrown wants to ‰ÛÏobserve and absorb these places and cultures, taking in what I can and hopefully leaving a tiny bit in return.‰Ûù Photography, drawing, writing, and learning languages are how he hopes to catalog and express his experiences. He looks forward to ‰ÛÏthe ‰Û÷solo‰Ûª aspect of this journey as an unparalleled opportunity for personal reflection and spiritual development.‰Ûù",2010,['Computer Science'],,,,1
53,"Hometown: Lake Oswego, OR",Mathematics,Joseph Cramer,"An accomplished lacrosse player, Cramer has also been recognized for his service as a tutor and volunteers in a homeless shelter. In his travels Cramer will ‰ÛÏexplore education across an array of cultures in hopes of learning how to empower the next generation of young students.‰Ûù He is excited to visit the Himalayas and learn how Buddhist monks have integrated teaching modern science with ancient Buddhist principles. From Bosnia to Turkey, Singapore to Indonesia, South Korea to Japan, Cramer will learn how cultural differences impact teacher preparation, resources for student development, and math and science preparation.åÊ‰ÛÏEverywhere I go,‰Ûù says Cramer, ‰ÛÏI will share my passion for children and education to connect with people and encourage a hope for unity in our world.‰Ûù",2010,['Mathematics'],,,,1
54,"Hometown: Sammamish, WA",Sociology,Autumn Cutter,"Cutter is an active volunteer in local and international social justice issues and in midwifery organizations, as well as a peer writing consultant in the UW‰Ûªs Odegaard Writing and Research Center. Her Bonderman Travel Fellowship will be ‰ÛÏguided by the theme of birth. ‰ÛÏShe plans to travel through Central America, South America, Africa, the Middle East, and parts of Asia and talking with new mothers, midwives, pregnant women, doctors and nurses. She hopes these conversations and experiences will give her ‰ÛÏa deeper insight into the creation of the next generation and will fuel my intense interest in women‰Ûªs reproductive health around the globe.‰Ûù",2010,['Sociology'],,1,,
55,"Hometown: Bainbridge Island, WA",Aeronautics and Astronautics,Luke Jensen,"Jensen is an undergraduate researcher and a leader in several academic endeavors including being the president of the UW chapter of the Tau Beta Pi engineering honors society and the UW chapter of the American Institute of Aeronautics and Astronautics. Jensen will begin his travels in South America through which he plans to travel on motorcycle, learning Spanish, as well as ‰ÛÏthe beauty and humility of travel.‰Ûù Following South America, he will visit several Asian countries, predominantly China.åÊ‰ÛÏMost importantly,‰Ûù writes Jensen, ‰ÛÏI will travel with an open mind and a willing heart, turning my engineering education into a well-rounded understanding of what comes next for me and my neighbors all around the world.‰Ûù",2010,['Aeronautics and Astronautics'],,,,1
56,"Hometown: Longview, WA",English,Brittany Lichty,"Lichty served as a resident adviser and is a volunteer and tutor in Seattle-area schools. She plans to travel to ‰ÛÏcountries with large groups of dispersed peoples due to conflict.‰Ûù These plans will bring her through Thailand, Laos, Cambodia, Vietnam then to Croatia, Bosnia, Serbia, Montenegro, Albania, and finally to Ethiopia, Eritrea, and Somalia. ‰ÛÏThe purpose of my journey is to expand global education and encourage cultural tolerance and understanding. ‰ÛÏUpon her return to the United States, Lichty wants to expand study abroad programs for community colleges.",2010,['English'],1,,,
57,"Hometown: Mercer Island, WA","Economics; Cellular, Molecular and Developmental Biology",Nina Tan,"Tan, a Mary Gates Research Scholar and a UW Undergraduate Achievement Scholar, is a member of the student organization Students for Equal Health, among other activities.åÊWhile traveling on her Bonderman Fellowship, Tan hopes ‰ÛÏto learn about countries and their respective cultures and histories through the lens of food.‰Ûù She will begin her trip in China, making her way to Tibet and Nepal, then India and Bangladesh. After Asia and Southeast Asia, her route will bring her to Eastern Europe and the Czech Republic, Croatia, Bosnia, and Herzegovina. From there, Tan will travel through Greece and explore the Middle East and Egypt.åÊAfter completing her travels and working for a few years, Tan plans to earn a master‰Ûªs degree in Public Health.",2010,"['Economics', 'Biology']",,1,1,
58,Hometown:åÊSeattle,Environmental Science and Resource Management,Alex Win,"Win‰Ûªs interest in the environment extends beyond the classroom and into volunteer positions with EarthCrop, the Seattle Aquarium, and the Urban Horticulture Library.åÊThrough traveling, Win wants ‰ÛÏto see the fish, wildlife and natural landscape I‰Ûªve seen on television growing up.‰Ûù He plans to explore the jungles of Papua New Guinea to witness the ‰ÛÏweird and wonderful birds of paradise and find the bright and deadly frogs of Panama, snorkel the dwindling colorful coral reefs in Indonesia and Belize, feel the hot sand between the toes in the deserts of Gobi, stop by the ever growing cities of China and hop across the border to journey with the seasons in the company of the nomads in rural Mongolia.‰Ûù As if that weren‰Ûªt enough, Win also plans to spend time in the Himalayas and India.åÊHis trip is structured around learning about the ‰ÛÏsocial, cultural, and financial impediments present in various landscapes and societies to see how they might hinder conservation efforts and find ways to balance the immediate needs of the people with the needs of the wildlife.‰Ûù",2010,['Environmental Science and Resource Management'],,,1,
59,,Germanics; Human Rights,Evan Easton-Calabria,"Easton-Calabria intends to travel through Chile, Argentina, Liberia, Uganda, Rwanda and South Africa, and explore the ways different cultures address reconciliation. Specifically, she hopes to expand her understanding by learning how youth are expressing themselves in regard to recent civil wars, national conflicts, genocide and apartheid. Through listening, communicating and writing about her experiences, she hopes to better understand the ways different countries, communities, and citizens are dealing with their pasts.",2009,"['Germanics', 'Human Rights']",1,1,,
60,,Biology; Public Health,Sara Drescher,"DrescheråÊwould like to spend time in places where people‰Ûªs immediate needs conflict with environmental preservation priorities. She hopes that those people can help her see ways in which these needs can be balanced. To that end, she would like to visit areas like the rainforests in Borneo and Brazil, islands like Tuvalu, desert ecosystems like those in Ethiopia and Egypt, among others. She is also interested in the way that culture is shaped by environment.",2009,"['Biology', 'Public Health']",,1,1,
61,,Social Welfare; Anthropology,Joshua Johnson,"Joshua says that the hardest part will be finalizing an itinerary! With a Polaroid camera and an iPod he will trek across five continents, with planned stops in Canada, New Zealand, Papua New Guinea, the Philippines, Japan, China, India, Norway, Romania, Brazil, Chile, Bolivia, Peru and Mexico.",2009,"['Social Welfare', 'Anthropology']",1,1,,
62,,"Law, Society and Justice; Women Studies",Martina Kartman,"Kartman will travel in the Dominican Republic, Trinidad, Colombia, Brazil, South Africa, and Morocco, and probably many other countries along the way. Motivated by her education and her personal experiences with adversity and difference, Martina wants to travel to post-colonial countries rebuilding from systematic racism, to witness and experience the strength of art. From the Ghetto Youth Uprising in Port Elizabeth to Islamic hip hop movement in Morocco, she wants to learn beyond what the classroom can teach and feel the narrative through art ‰ÛÒ essential to getting whole picture.",2009,"['Law, Society and Justice', 'Women Studies']",,1,,
63,,English; Philosophy; Neurobiology,Sam Sudar,"SudaråÊwill travel north to south in South America, starting in Caracas and ending in Puntas Arenas. He‰Ûªll then travel south to north in Asia, starting in Singapore and traveling to Mount Tai in China, ancient home of the poet Cold Mountain. Sudar, who has never traveled outside the United States before, is also a 2009 Gates-Cambridge Scholar, and will be entering Cambridge after he returns from his journey.",2009,"['English', 'Philosophy', 'Neurobiology']",1,,1,
